-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
(-)-BORNYL-P-COUMARATE,5-Lipoxygenase-Inhibitor,not available,"Duke, 1992 *"
(-)-BORNYL-P-COUMARATE,Antiinflammatory,not available,"Duke, 1992 *"
(-)-BORNYL-P-COUMARATE,Antioxidant,not available,"Duke, 1992 *"
(-)-CAMPHOR,Insect-Repellent,not available,"Duke, 1992 *"
(-)-CAMPHOR,Pesticide,not available,"Duke, 1992 *"
(-)-CANADINE,Hypotensive,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-CANESCACARPIN,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-CANESCACARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-CANESCACARPIN,Phytoalexin,not available,"Duke, 1992 *"
(-)-CAPAURINE,Antimalarial,IC50=1910-4340 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CAPAURINE,Antiplasmodial,IC50=1910-4340 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CARNEGINE,Convulsant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-CASSYTHICINE,Antimalarial,IC50=2260-2290 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CASSYTHICINE,Antiplasmodial,IC50=2260-2290 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CATHINONE,Pyrogenic,16-24 mg/kg ipr rbt,"Kalix, P. 1980. Hyperthermic Response to (-)-Cathinone, an Alkaloid of Catha edulis (KHAT). J Pharm Pharmacol, 32: 662-663."
(-)-CENTROLOBINE,Antiseptic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-CENTROLOBINE,Pesticide,not available,"Duke, 1992 *"
(-)-CLANDESTACARPIN,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-CLANDESTACARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-CLANDESTACARPIN,Phytoalexin,not available,"Duke, 1992 *"
(-)-CORYDALMINE,Antimalarial,IC50=840-2840 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CORYDALMINE,Antiplasmodial,IC50=840-2840 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CRISTACARPIN,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-CRISTACARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-CRISTACARPIN,Phytoalexin,not available,"Duke, 1992 *"
(-)-CURINE,Antimalarial,IC50=353 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CURINE,Antiplasmodial,IC50=353 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CURINE,Calcium-Antagonist,IC50=0.26 uM pig,"Duke, 1992 *"
(-)-CYCLEAPELTINE,Antimalarial,IC50=0.03-0.04 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-CYCLEAPELTINE,Antiplasmodial,IC50=0.03-0.04 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-DANSHEXINKUN,Aldose-Reductase-Inhibitor,IC50=0.87 uM,"Tezuka, Y., Kasimu, R., Basnet, P., Namba, T., Kadota, S. 1997. Aldose Reductase Inhibitory Constituents of the Root of Salvia miltiorhiza Bunge. Chem Pharm Bull, 45(8): 1306-1311."
(-)-DAURISOLINE,Calcium-Antagonist,ith rat,"Duke, 1992 *"
(-)-DAURISOLINE,Calcium-Antagonist,IC50=28.2 uM/l rbt,"Duke, 1992 *"
(-)-DEMETHYLMEDICARPIN,Fungicide,EC50=50-100,"Duke, 1992 *"
(-)-DEMETHYLMEDICARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-DEMETHYLMEDICARPIN,Phytoalexin,not available,"Duke, 1992 *"
(-)-DICENTRINE,Analgesic,not available,"Duke, 1992 *"
(-)-DICENTRINE,Anticonvulsant,not available,"Duke, 1992 *"
(-)-DICENTRINE,Antimalarial,IC50=1260-2550 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-DICENTRINE,Antiplasmodial,IC50=1260-2550 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-DICENTRINE,Antitumor,not available,"Duke, 1992 *"
(-)-DICENTRINE,Sedative,LD50=187,"Duke, 1992 *"
(-)-DOLICHIN-A,Fungicide,ED50=>100,"Duke, 1992 *"
(-)-DOLICHIN-A,Pesticide,not available,"Duke, 1992 *"
(-)-DOLICHIN-A,Phytoalexin,not available,"Duke, 1992 *"
(-)-DOLICHIN-B,Fungicide,ED50=>100,"Duke, 1992 *"
(-)-DOLICHIN-B,Pesticide,not available,"Duke, 1992 *"
(-)-DOLICHIN-B,Phytoalexin,not available,"Duke, 1992 *"
(-)-EBURNAMOMINE,Hypoglycemic,not available,"Duke, 1992 *"
(-)-EMETINE,Calcium-Antagonist,60 uM,"Duke, 1992 *"
(-)-EPHEDRINE,Thermogenic,> (+)-pseudoephedrine & (-)-pseudoephedrine,"Bukowiecki, L., Jahjah, L., Follea, N. 1982. Ephedrine, a Potential Slimming Drug, Directly Stimulates Thermogenesis in Brown Adipocytes Via Beta-Adrenoreceptors. Int J Obesity, 6: 343-350."
(-)-EPIAFZELECHIN,COX-1-Inhibitor,IC50=15 uM/,"Min, K. R. et al. 1999. (-)-epiafzelechin: Cyclooxygenase-1 Inhibitor and Anti-Inflammatory Agent from Aerial Parts of Celastrus orbiculatus. Planta Med., 65(5): 460-462."
(-)-EPIAFZELECHIN,Cyclooxygenase-Inhibitor,not available,"Duke, 1992 *"
(-)-EPICATECHIN,5-Lipoxygenase-Inhibitor,IC50=22-50 uM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,IC50=0.216 mM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,0.5 mg/ml rbt (weak activity),"Duke, 1992 *"
(-)-EPICATECHIN,Allelochemic,not available,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp"
(-)-EPICATECHIN,Antiaggregant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antianaphylactic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antidiabetic,30 mg/kg rat,"Duke, 1992 *"
(-)-EPICATECHIN,AntiEBV,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antihepatitic,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
(-)-EPICATECHIN,AntiHIV,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antihyperglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antiinflammatory,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antileukemic,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antileukotriene,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antilipoperoxidant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antioxidant,IC50=6.3 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EPICATECHIN,Antiviral,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPICATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(-)-EPICATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Choline-Sparing,not available,"Duke, 1992 *"
(-)-EPICATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPICATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Hypocholesterolemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Hypoglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Immunostimulant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Insulinogenic,not available,"Economic & Medicinal Plant Research, 6: 170."
(-)-EPICATECHIN,Lipoxygenase-1-Inhibitor,IC50=60 mM,"Duke, 1992 *"
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC50=140 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC97=5 mM,"Oszmianski, J. and Lee, C.Y. 1990. Inhibitory Effect of Phenolics on Carotene Bleaching in Vegetables. J. Agric. Food Chem. 38: 688-690."
(-)-EPICATECHIN,Pancreatogenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Reverse-Transcriptase-Inhibitor,10 ng/ml,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Vasodilator,uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EPICATECHIN-3-O-GALLATE,ACE-Inhibitor,ED50=0.08 mM/,"Duke, 1992 *"
(-)-EPICATECHIN-3-O-GALLATE,AntiHIV,EC50=1 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN-3-O-GALLATE,Antioxidant,IC50=0.16 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN-3-O-GALLATE,Antiviral,EC50=1 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN-3-O-GALLATE,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN-3-O-GALLATE,Methyl-Guanidine-Inhibitor,2.5 mg/kg/day,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN-3-O-GALLATE,Nephroprotective,2.5 mg/kg/day,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN-GALLATE,Acetyl-CoA-Carboxylase-Inhibitor,IC50=~300-325 uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN-GALLATE,Antimutagenic,not available,"Economic & Medicinal Plant Research, 6: 235."
(-)-EPIGALLOCATECHIN,ACE-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Aldose-Reductase-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antiacne,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antiamebic,not available,"Meckes, M., Calzada, F., Tapia-Contreras, A., Cedillo-Rivera, R. 1999. Antiprotozoal Properties of Helianthemum glomeratum. Phytotherapy Research, 13(2): 102-105."
(-)-EPIGALLOCATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Anticarcinogenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Anticaries,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antigiardial,not available,"Meckes, M., Calzada, F., Tapia-Contreras, A., Cedillo-Rivera, R. 1999. Antiprotozoal Properties of Helianthemum glomeratum. Phytotherapy Research, 13(2): 102-105."
(-)-EPIGALLOCATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antioxidant,IC50=1.4 ug/ml,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antioxidant,IC50=2.3 uM,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antiradicular,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antistreptococcic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPIGALLOCATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPIGALLOCATECHIN,Lipoxygenase-Inhibitor,IC50=21 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPIGALLOCATECHIN,Neuroprotective,400 uM,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Peroxynitrite-Scavenger,IC50=0.228 ug/ml,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Protisticide,not available,"Meckes, M., Calzada, F., Tapia-Contreras, A., Cedillo-Rivera, R. 1999. Antiprotozoal Properties of Helianthemum glomeratum. Phytotherapy Research, 13(2): 102-105."
(-)-EPIGALLOCATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EPIGALLOCATECHIN-3-GALLATE,Antiangiogenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-3-GALLATE,VEGF-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-3-O-GALLATE,ACE-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Antiischemic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Antioxidant,IC50=0.14 ug/ml,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Antiretinopathic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Apoptotic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Methyl-Guanidine-Inhibitor,2.5 mg/kg/day,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-3-O-GALLATE,Nephroprotective,2.5 mg/kg/day,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Acetyl-CoA-Carboxylase-Inhibitor,IC50=311 uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Aldose-Reductase-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Allergenic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Antiacne,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antiaggregant,450 uM,"Duke, 1992 *"
